case_idx,conv_id,user_message,model,provider,tool_match,tools_called,ref_tools,expected_tools,input_tokens,output_tokens,total_tokens,elapsed_s,response_preview,error
1,Kn9LpIjYWemxY57MwdSz,Hello,claude-sonnet-4-6,anthropic,REF,(none),(none),(none),7600,136,7736,7.26,"Hello! I'm your expense tracking assistant. You can send me expenses like:  - ""Spent $12.50 at Chipo",
1,Kn9LpIjYWemxY57MwdSz,Hello,claude-haiku-4-5,anthropic,OK,(none),(none),(none),7599,166,7765,8.88,Hello! I'm your expense tracking assistant. I'm here to help you track your spending and manage your,
1,Kn9LpIjYWemxY57MwdSz,Hello,gpt-5-mini,openai,OK,(none),(none),(none),5116,218,5334,9.85,"Hi — how can I help with your expenses today? You can tell me a purchase (e.g., ""Spent $15 at Chipot",
1,Kn9LpIjYWemxY57MwdSz,Hello,gpt-5.1,openai,OK,(none),(none),(none),5116,90,5206,6.77,"Hi! To track an expense, just text me something like:  Starbucks 4.85 today   or   Uber to airport 3",
1,Kn9LpIjYWemxY57MwdSz,Hello,gemini-3.1-pro-preview,google,OK,(none),(none),(none),5093,38,5131,9.85,"Hello! I am your expense tracking assistant. You can send me your expenses, receipts, or ask me abou",
1,Kn9LpIjYWemxY57MwdSz,Hello,gemini-3-flash-preview,google,OK,(none),(none),(none),5093,98,5191,6.49,"Hello! I am your expense tracking assistant. I can help you record your spending, track refunds, set",
2,Kn9LpIjYWemxY57MwdSz,What’s my auth token,claude-sonnet-4-6,anthropic,REF,(none),(none),(none),7807,63,7870,5.33,I don't have access to your auth token - that's handled securely by the app on your device. The auth,
2,Kn9LpIjYWemxY57MwdSz,What’s my auth token,claude-haiku-4-5,anthropic,OK,(none),(none),(none),7806,132,7938,7.72,I don't have access to your auth token - that's something you'll need to provide when you're ready t,
2,Kn9LpIjYWemxY57MwdSz,What’s my auth token,gpt-5-mini,openai,OK,(none),(none),(none),5305,887,6192,15.16,I can’t access or show your auth token. It’s a private credential your app or browser holds.  How to,
2,Kn9LpIjYWemxY57MwdSz,What’s my auth token,gpt-5.1,openai,OK,(none),(none),(none),5305,230,5535,8.49,I don’t have access to your auth token or any of your account credentials.  Your auth token is norma,
2,Kn9LpIjYWemxY57MwdSz,What’s my auth token,gemini-3.1-pro-preview,google,OK,(none),(none),(none),0,0,0,2.97,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 16.817773087s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-pro'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '16s'}]}}"
2,Kn9LpIjYWemxY57MwdSz,What’s my auth token,gemini-3-flash-preview,google,OK,(none),(none),(none),5294,64,5358,14.63,"I do not have access to your auth token. For your security, authentication details like tokens are h",
3,VfZbiW4YHAzy9y09Z2JW,25 dollars on Therapy,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23399,336,23735,17.11,Saved $25 Therapy (MEDICAL) - now at $95 in MEDICAL this month.  Warning: You are OVER your MEDICAL ,
3,VfZbiW4YHAzy9y09Z2JW,25 dollars on Therapy,claude-haiku-4-5,anthropic,DIFF,"get_categories, save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23924,409,24333,19.83,Saved $25 Therapy (MEDICAL)  WARNING: You are over budget in the MEDICAL category! You've spent $70 ,
3,VfZbiW4YHAzy9y09Z2JW,25 dollars on Therapy,gpt-5-mini,openai,DIFF,"get_categories, get_categories, get_categories, save_expense, get_categories, get_categories, get_categories, get_categories, get_categories, get_categories","get_budget_status, save_expense","save_expense, get_budget_status",60733,5111,65844,96.2,[max turns reached],
3,VfZbiW4YHAzy9y09Z2JW,25 dollars on Therapy,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",5119,98,5217,5.92,"I can save that, but I need two things from you first:  1) Your auth token (so I can save this to yo",
3,VfZbiW4YHAzy9y09Z2JW,25 dollars on Therapy,gemini-3.1-pro-preview,google,DIFF,"save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",52950,557,53507,80.27,[max turns reached],
3,VfZbiW4YHAzy9y09Z2JW,25 dollars on Therapy,gemini-3-flash-preview,google,DIFF,"save_expense, save_expense, get_categories, save_expense, get_budget_status, get_budget_remaining","get_budget_status, save_expense","save_expense, get_budget_status",32464,313,32777,37.85,"Saved $25 Therapy session (MEDICAL) - now at $70 in MEDICAL, $2828.13 total Warning: 280% of MEDICAL",
4,7oJSDwdZCTdlboYBrQmP,5.50 on happy hour drinks two days ago,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23435,333,23768,12.99,Saved $5.50 Happy hour drinks (FOOD_OUT) on 2/19 - now at 73% of your FOOD_OUT budget with $157.42 l,
4,7oJSDwdZCTdlboYBrQmP,5.50 on happy hour drinks two days ago,claude-haiku-4-5,anthropic,OK,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",15665,342,16007,7.07,Saved $5.50 Happy hour drinks (FOOD_OUT)  You're at 73% of your FOOD_OUT budget with $157.42 remaini,
4,7oJSDwdZCTdlboYBrQmP,5.50 on happy hour drinks two days ago,gpt-5-mini,openai,DIFF,"get_categories, save_expense, save_expense, get_categories, save_expense, get_categories, get_categories, get_categories, get_categories, get_categories","get_budget_status, save_expense","save_expense, get_budget_status",58235,5483,63718,126.97,[max turns reached],
4,7oJSDwdZCTdlboYBrQmP,5.50 on happy hour drinks two days ago,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",5125,85,5210,4.22,"To save this, I need your Firebase Auth ID token.   Reply with your auth token (just the token strin",
4,7oJSDwdZCTdlboYBrQmP,5.50 on happy hour drinks two days ago,gemini-3.1-pro-preview,google,OK,"save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, get_budget_status, save_expense, get_budget_status, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",43113,563,43676,114.42,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 25.309474144s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'model': 'gemini-3.1-pro', 'location': 'global'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '25s'}]}}"
4,7oJSDwdZCTdlboYBrQmP,5.50 on happy hour drinks two days ago,gemini-3-flash-preview,google,DIFF,"save_expense, save_expense, get_budget_status, get_categories, save_expense, save_expense, get_budget_status, save_expense, get_budget_status, save_expense, get_budget_status, save_expense, get_categories, save_expense, get_budget_status, get_categories","get_budget_status, save_expense","save_expense, get_budget_status",56017,831,56848,88.47,[max turns reached],
5,7oJSDwdZCTdlboYBrQmP,How much have I spent on food out this month,claude-sonnet-4-6,anthropic,REF,get_spending_by_category,get_spending_by_category,get_spending_by_category,18116,466,18582,14.53,You've spent $412.08 on FOOD_OUT this month across 17 transactions:  - Hot Pot: $50 (2/1) - Chipotle,
5,7oJSDwdZCTdlboYBrQmP,How much have I spent on food out this month,claude-haiku-4-5,anthropic,OK,get_spending_by_category,get_spending_by_category,get_spending_by_category,18103,479,18582,13.59,Food out this month (Feb 1-21): $412.08  Restaurants: $412.08 (17 transactions) - Dinner at Tutto Fr,
5,7oJSDwdZCTdlboYBrQmP,How much have I spent on food out this month,gpt-5-mini,openai,OK,get_spending_by_category,get_spending_by_category,get_spending_by_category,12866,1951,14817,39.26,Food out this month: $412.08 (17 transactions)  Transactions: - Mild 2 Spicy: $29.00 (2/10) - Happy ,
5,7oJSDwdZCTdlboYBrQmP,How much have I spent on food out this month,gpt-5.1,openai,DIFF,"get_spending_summary, get_spending_by_category",get_spending_by_category,get_spending_by_category,18229,299,18528,20.94,Food out this month: $412.08 (17 transactions)  Highlights: - Dinner at Tutto Fresco: $74 (2/14) - T,
5,7oJSDwdZCTdlboYBrQmP,How much have I spent on food out this month,gemini-3.1-pro-preview,google,DIFF,"query_expenses, query_expenses, get_budget_remaining, get_spending_by_category, get_spending_by_category, get_budget_remaining",get_spending_by_category,get_spending_by_category,35330,643,35973,91.1,Food out this month: $412.08 (17 transactions)  - Dinner at Tutto Fresco: $74.00 (2/14) - Turkey and,
5,7oJSDwdZCTdlboYBrQmP,How much have I spent on food out this month,gemini-3-flash-preview,google,DIFF,"query_expenses, get_spending_by_category",get_spending_by_category,get_spending_by_category,18548,413,18961,34.74,Food out this month: $412.08  FOOD_OUT: $412.08 (17 transactions) - Mild 2 Spicy: $29 (2/10) - Happy,
6,7oJSDwdZCTdlboYBrQmP,What’s my highest category,claude-sonnet-4-6,anthropic,REF,get_spending_by_category,get_spending_by_category,(none),18854,258,19112,16.42,"Your highest spending categories this month:  1. RENT: $1,400 (1 transaction) 2. FOOD_OUT: $412.08 (",
